SESSION_ID,ENERGIA_TOTAL_MJ,MASSA_TOTAL_TON,TIPO_COMBUSTIVEL_PRINCIPAL,NUM_REGISTROS_CONSUMO
39800001170,1782.0,44.0,LSHFO 0.5,1
39800001173,1782.0,44.0,LSHFO 0.5,1
39800001175,1660.5,41.0,LSHFO 0.5,1
39800001177,1620.0,40.0,LSHFO 0.5,1
39800001179,1620.0,40.0,LSHFO 0.5,1
39800001181,1822.5,45.0,LSHFO 0.5,1
39800001183,1903.5,47.0,LSHFO 0.5,1
39800001185,1822.5,45.0,LSHFO 0.5,1
39800001187,1822.5,45.0,LSHFO 0.5,1
39800001190,1863.0,46.0,LSHFO 0.5,1
39800001192,1863.0,46.0,LSHFO 0.5,1
39800001194,1863.0,46.0,LSHFO 0.5,1
39800001197,1903.5,47.0,LSHFO 0.5,1
39800001199,1822.5,45.0,LSHFO 0.5,1
39800001210,607.5,15.0,LSHFO 0.5,1
39800001218,40.5,1.0,LSHFO 0.5,1
39800001229,243.0,6.0,LSHFO 0.5,1
39800001248,243.0,6.0,LSHFO 0.5,1
39800001252,40.5,1.0,LSHFO 0.5,1
39800001271,81.0,2.0,LSHFO 0.5,1
39800001275,0.0,0.0,LSHFO 0.5,2
39800001285,81.0,2.0,LSHFO 0.5,1
39800001292,607.5,15.0,LSHFO 0.5,2
39800001316,1336.5,33.0,LSHFO 0.5,1
39800001318,1336.5,33.0,LSHFO 0.5,1
39800001320,1296.0,32.0,LSHFO 0.5,1
39800001322,1458.0,36.0,LSHFO 0.5,1
39800001324,1458.0,36.0,LSHFO 0.5,1
39800001326,1458.0,36.0,LSHFO 0.5,1
39800001329,1458.0,36.0,LSHFO 0.5,1
39800001331,1458.0,36.0,LSHFO 0.5,1
39800001334,1458.0,36.0,LSHFO 0.5,1
39800001336,1458.0,36.0,LSHFO 0.5,1
39800001338,1458.0,36.0,LSHFO 0.5,1
39800001340,1458.0,36.0,LSHFO 0.5,1
39800001342,1458.0,36.0,LSHFO 0.5,1
39800001344,1458.0,36.0,LSHFO 0.5,1
39800001346,1458.0,36.0,LSHFO 0.5,1
39800001348,1458.0,36.0,LSHFO 0.5,1
39800001350,1458.0,36.0,LSHFO 0.5,1
39800001352,1458.0,36.0,LSHFO 0.5,1
39800001354,1458.0,36.0,LSHFO 0.5,1
39800001356,1458.0,36.0,LSHFO 0.5,1
39800001358,1458.0,36.0,LSHFO 0.5,1
39800001360,1458.0,36.0,LSHFO 0.5,1
39800001362,1458.0,36.0,LSHFO 0.5,1
39800001364,1458.0,36.0,LSHFO 0.5,1
39800001366,1458.0,36.0,LSHFO 0.5,1
39800001368,1458.0,36.0,LSHFO 0.5,1
39800001370,1458.0,36.0,LSHFO 0.5,1
39800001372,1458.0,36.0,LSHFO 0.5,1
39800001444,243.0,6.0,LSHFO 0.5,1
39800001468,40.5,1.0,LSHFO 0.5,2
39800001476,40.5,1.0,LSHFO 0.5,1
39800001479,0.0,0.0,LSHFO 0.5,2
39800001487,40.5,1.0,LSHFO 0.5,1
39800001496,850.5,21.0,LSHFO 0.5,1
39800001499,1620.0,40.0,LSHFO 0.5,1
39800001501,1620.0,40.0,LSHFO 0.5,1
39800001516,769.5,19.0,LSHFO 0.5,1
39800001520,0.0,0.0,LSHFO 0.5,2
39800001528,607.5,15.0,LSHFO 0.5,1
39800001530,1377.0,34.0,LSHFO 0.5,2
39800001533,1377.0,34.0,LSHFO 0.5,1
39800001562,81.0,2.0,LSHFO 0.5,2
39800001564,0.0,0.0,LSHFO 0.5,2
39800001566,0.0,0.0,LSHFO 0.5,2
39800001583,1620.0,40.0,LSHFO 0.5,1
39800001585,1620.0,40.0,LSHFO 0.5,1
39800001587,1620.0,40.0,LSHFO 0.5,1
39800001589,1620.0,40.0,LSHFO 0.5,1
39800001591,1620.0,40.0,LSHFO 0.5,1
39800001593,1620.0,40.0,LSHFO 0.5,1
39800001595,1620.0,40.0,LSHFO 0.5,1
39800001597,1620.0,40.0,LSHFO 0.5,1
39800001599,1620.0,40.0,LSHFO 0.5,1
39800001603,1620.0,40.0,LSHFO 0.5,1
39800001609,1620.0,40.0,LSHFO 0.5,1
39800001642,445.5,11.0,LSHFO 0.5,2
39800001651,567.0,14.0,LSHFO 0.5,2
39800001653,1620.0,40.0,LSHFO 0.5,1
39800001655,1620.0,40.0,LSHFO 0.5,1
39800001657,1620.0,40.0,LSHFO 0.5,1
39800001659,1620.0,40.0,LSHFO 0.5,1
39800001661,1620.0,40.0,LSHFO 0.5,1
39800001663,1524.9,37.0,LSHFO 0.5,2
39800001665,854.0,20.0,ULSMGO 0.1,1
39800001671,213.5,5.0,ULSMGO 0.1,1
39800001679,427.0,10.0,ULSMGO 0.1,1
39800001688,597.8000000000001,14.0,ULSMGO 0.1,1
39800001705,640.5,15.0,ULSMGO 0.1,1
39800001739,128.10000000000002,3.0,ULSMGO 0.1,1
39800001761,213.5,5.0,ULSMGO 0.1,1
39800001781,213.5,5.0,ULSMGO 0.1,1
39800001784,427.0,10.0,LSHFO 0.5,2
39800001786,1539.0,38.0,LSHFO 0.5,1
39800001788,1458.0,36.0,LSHFO 0.5,1
39800001790,1458.0,36.0,LSHFO 0.5,1
39800001792,972.0,24.0,LSHFO 0.5,1
39800001794,1458.0,36.0,LSHFO 0.5,1
39800001796,1377.0,34.0,LSHFO 0.5,1
39800001798,1458.0,36.0,LSHFO 0.5,1
39800001800,1458.0,36.0,LSHFO 0.5,1
39800001804,1458.0,36.0,LSHFO 0.5,1
39800001806,1458.0,36.0,LSHFO 0.5,1
39800001808,1458.0,36.0,LSHFO 0.5,2
39800001810,1458.0,36.0,LSHFO 0.5,1
39800001812,1458.0,36.0,LSHFO 0.5,1
39800001814,1458.0,36.0,LSHFO 0.5,1
39800001816,1458.0,36.0,LSHFO 0.5,1
39800001818,1458.0,36.0,LSHFO 0.5,1
39800001820,1458.0,36.0,LSHFO 0.5,1
39800001822,1458.0,36.0,LSHFO 0.5,1
39800001841,0.0,0.0,LSHFO 0.5,2
39800001859,42.7,1.0,LSHFO 0.5,2
39800001867,0.0,0.0,LSHFO 0.5,2
39800001873,40.5,1.0,LSHFO 0.5,1
39800001881,364.5,9.0,LSHFO 0.5,2
39800001886,121.5,3.0,LSHFO 0.5,1
39800001890,4171.5,103.0,LSHFO 0.5,2
39800001892,1741.5,43.0,LSHFO 0.5,2
39800001894,1741.5,43.0,LSHFO 0.5,1
39800001897,1701.0,42.0,LSHFO 0.5,1
39800001899,1741.5,43.0,LSHFO 0.5,1
39800001901,1741.5,43.0,LSHFO 0.5,1
39800001904,1741.5,43.0,LSHFO 0.5,1
39800001906,1741.5,43.0,LSHFO 0.5,2
39800001908,1741.5,43.0,LSHFO 0.5,1
39800001910,1741.5,43.0,LSHFO 0.5,1
39800001912,1701.0,42.0,LSHFO 0.5,1
39800001915,1660.5,41.0,LSHFO 0.5,1
39800001917,1660.5,41.0,LSHFO 0.5,2
39800001919,1701.0,42.0,LSHFO 0.5,1
39800001921,1701.0,42.0,LSHFO 0.5,1
39800001923,1660.5,41.0,LSHFO 0.5,1
39800001925,1701.0,42.0,LSHFO 0.5,1
39800001927,1741.5,43.0,LSHFO 0.5,1
39800001929,1701.0,42.0,LSHFO 0.5,1
39800001931,1701.0,42.0,LSHFO 0.5,1
39800001933,1782.0,44.0,LSHFO 0.5,1
39800001937,1782.0,44.0,LSHFO 0.5,1
39800001939,1701.0,42.0,LSHFO 0.5,1
39800001941,1701.0,42.0,LSHFO 0.5,1
39800001943,1660.5,41.0,LSHFO 0.5,1
39800001945,1620.0,40.0,LSHFO 0.5,1
39800001947,1620.0,40.0,LSHFO 0.5,1
39800001949,1620.0,40.0,LSHFO 0.5,1
39800001951,1620.0,40.0,LSHFO 0.5,1
39800001953,1579.5,39.0,LSHFO 0.5,1
39800001955,1579.5,39.0,LSHFO 0.5,1
39800002150,567.0,14.0,LSHFO 0.5,1
39800002160,0.0,0.0,LSHFO 0.5,2
39800002164,202.5,5.0,LSHFO 0.5,1
39800002180,202.5,5.0,LSHFO 0.5,1
39800002221,1620.0,40.0,LSHFO 0.5,1
39800002223,4374.0,108.0,LSHFO 0.5,1
39800002225,1458.0,36.0,LSHFO 0.5,1
39800002227,1458.0,36.0,LSHFO 0.5,1
39800002230,1417.5,35.0,LSHFO 0.5,1
39800002232,1377.0,34.0,LSHFO 0.5,1
39800002234,1701.0,42.0,LSHFO 0.5,2
39800002240,121.5,3.0,LSHFO 0.5,1
39800002252,0.0,0.0,LSHFO 0.5,2
39800002263,0.0,0.0,ULSMGO 0.1,1
39800002270,162.0,4.0,LSHFO 0.5,1
39800002275,4495.5,111.0,LSHFO 0.5,2
39800002277,1660.5,41.0,LSHFO 0.5,1
39800002280,1660.5,41.0,LSHFO 0.5,1
39800002282,1660.5,41.0,LSHFO 0.5,1
39800002284,1701.0,42.0,LSHFO 0.5,1
39800002286,1660.5,41.0,LSHFO 0.5,1
39800002288,1701.0,42.0,LSHFO 0.5,1
39800002290,1620.0,40.0,LSHFO 0.5,1
39800002292,1701.0,42.0,LSHFO 0.5,1
39800002294,1660.5,41.0,LSHFO 0.5,1
39800002296,1458.0,36.0,LSHFO 0.5,1
39800002298,1458.0,36.0,LSHFO 0.5,1
39800002300,1093.5,27.0,LSHFO 0.5,1
39800002302,1174.5,29.0,LSHFO 0.5,1
39800002304,1539.0,38.0,LSHFO 0.5,1
39800002306,1660.5,41.0,LSHFO 0.5,1
39800002308,1701.0,42.0,LSHFO 0.5,1
39800002311,1822.5,45.0,LSHFO 0.5,1
39800002313,1741.5,43.0,LSHFO 0.5,1
39800002315,1701.0,42.0,LSHFO 0.5,1
39800002317,1741.5,43.0,LSHFO 0.5,1
39800002319,1741.5,43.0,LSHFO 0.5,1
39800002321,1741.5,43.0,LSHFO 0.5,1
39800002323,1741.5,43.0,LSHFO 0.5,1
39800002325,1741.5,43.0,LSHFO 0.5,1
39800002327,1701.0,42.0,LSHFO 0.5,1
39800002329,1579.5,39.0,LSHFO 0.5,1
39800002331,1498.5,37.0,LSHFO 0.5,1
39800002333,1296.0,32.0,LSHFO 0.5,1
39800002357,40.5,1.0,LSHFO 0.5,1
39800002387,0.0,0.0,LSHFO 0.5,2
39800002399,81.0,2.0,LSHFO 0.5,1
39800002410,81.0,2.0,LSHFO 0.5,1
39800002414,891.0,22.0,LSHFO 0.5,1
39800002419,202.5,5.0,LSHFO 0.5,1
39800002509,40.5,1.0,LSHFO 0.5,1
39800002521,40.5,1.0,LSHFO 0.5,1
39800002529,202.5,5.0,LSHFO 0.5,1
39800002537,40.5,1.0,LSHFO 0.5,1
39800002549,40.5,1.0,LSHFO 0.5,1
39800002557,283.5,7.0,LSHFO 0.5,2
39800002563,688.5,17.0,LSHFO 0.5,1
39800002565,1620.0,40.0,LSHFO 0.5,1
39800002567,1620.0,40.0,LSHFO 0.5,1
39800002570,1620.0,40.0,LSHFO 0.5,1
39800002572,1620.0,40.0,LSHFO 0.5,1
39800002574,1620.0,40.0,LSHFO 0.5,2
39800002576,1620.0,40.0,LSHFO 0.5,2
39800002578,1620.0,40.0,LSHFO 0.5,1
39800002580,1620.0,40.0,LSHFO 0.5,1
39800002582,1620.0,40.0,LSHFO 0.5,1
39800002584,1620.0,40.0,LSHFO 0.5,1
39800002586,1620.0,40.0,LSHFO 0.5,1
39800002588,1620.0,40.0,LSHFO 0.5,1
39800002590,1620.0,40.0,LSHFO 0.5,1
39800002592,1620.0,40.0,LSHFO 0.5,1
39800002594,1620.0,40.0,LSHFO 0.5,1
39800002596,1620.0,40.0,LSHFO 0.5,1
39800002598,1620.0,40.0,LSHFO 0.5,1
39800002600,1620.0,40.0,LSHFO 0.5,1
39800002603,1620.0,40.0,LSHFO 0.5,1
39800002606,1620.0,40.0,LSHFO 0.5,1
39800002608,1620.0,40.0,LSHFO 0.5,1
39800002610,1620.0,40.0,LSHFO 0.5,1
39800002612,1620.0,40.0,LSHFO 0.5,1
39800002614,1620.0,40.0,LSHFO 0.5,2
39800002616,1620.0,40.0,LSHFO 0.5,1
39800002618,1620.0,40.0,LSHFO 0.5,1
39800002620,1620.0,40.0,LSHFO 0.5,1
39800002622,1620.0,40.0,LSHFO 0.5,1
39800002624,1620.0,40.0,LSHFO 0.5,1
39800002626,1417.5,35.0,LSHFO 0.5,1
39800002628,1458.0,36.0,LSHFO 0.5,1
39800002630,729.0,18.0,LSHFO 0.5,1
39800002636,81.0,2.0,LSHFO 0.5,1
39800002644,121.5,3.0,LSHFO 0.5,1
39800002653,81.0,2.0,LSHFO 0.5,1
39800002664,81.0,2.0,LSHFO 0.5,1
39800002675,40.5,1.0,LSHFO 0.5,1
39800002686,40.5,1.0,LSHFO 0.5,1
39800002696,40.5,1.0,LSHFO 0.5,1
39800002706,162.0,4.0,LSHFO 0.5,1
39800002715,0.0,0.0,LSHFO 0.5,1
39800002721,81.0,2.0,LSHFO 0.5,1
39800002723,81.0,2.0,LSHFO 0.5,1
39800002725,202.5,5.0,LSHFO 0.5,1
39800002727,364.5,9.0,LSHFO 0.5,2
39800002732,364.5,9.0,LSHFO 0.5,1
39800002738,283.5,7.0,LSHFO 0.5,1
39800002750,202.5,5.0,LSHFO 0.5,1
39800002756,162.0,4.0,LSHFO 0.5,1
39800002767,0.0,0.0,LSHFO 0.5,2
39800002771,40.5,1.0,LSHFO 0.5,1
39800002775,283.5,7.0,LSHFO 0.5,1
39800002782,40.5,1.0,LSHFO 0.5,1
39800002792,81.0,2.0,LSHFO 0.5,1
39800002800,81.0,2.0,LSHFO 0.5,1
39800002809,40.5,1.0,LSHFO 0.5,1
39800002814,0.0,0.0,LSHFO 0.5,3
39800002819,40.5,1.0,LSHFO 0.5,1
39800002823,81.0,2.0,LSHFO 0.5,1
39800002825,1377.0,34.0,LSHFO 0.5,1
39800002827,1620.0,40.0,LSHFO 0.5,1
39800002829,1620.0,40.0,LSHFO 0.5,1
39800002831,1620.0,40.0,LSHFO 0.5,1
39800002833,1620.0,40.0,LSHFO 0.5,1
39800002835,1620.0,40.0,LSHFO 0.5,1
39800002837,1620.0,40.0,LSHFO 0.5,1
39800002839,1620.0,40.0,LSHFO 0.5,1
39800002841,1620.0,40.0,LSHFO 0.5,1
39800002843,1620.0,40.0,LSHFO 0.5,1
39800002845,1620.0,40.0,LSHFO 0.5,1
39800002849,1620.0,40.0,LSHFO 0.5,1
39800002851,1620.0,40.0,LSHFO 0.5,1
39800002853,1701.0,42.0,LSHFO 0.5,1
39800002855,1903.5,47.0,LSHFO 0.5,1
39800002857,1903.5,47.0,LSHFO 0.5,1
39800002860,1903.5,47.0,LSHFO 0.5,1
39800002862,1903.5,47.0,LSHFO 0.5,1
39800002864,1903.5,47.0,LSHFO 0.5,1
39800002866,1903.5,47.0,LSHFO 0.5,1
39800002868,1903.5,47.0,LSHFO 0.5,1
39800002871,1903.5,47.0,LSHFO 0.5,1
39800002873,1903.5,47.0,LSHFO 0.5,1
39800002875,1903.5,47.0,LSHFO 0.5,1
39800002877,1903.5,47.0,LSHFO 0.5,1
39800002879,1903.5,47.0,LSHFO 0.5,1
39800002881,1903.5,47.0,LSHFO 0.5,1
39800002883,1903.5,47.0,LSHFO 0.5,1
39800002885,1903.5,47.0,LSHFO 0.5,1
39800002887,1336.5,33.0,LSHFO 0.5,1
39800002894,162.0,4.0,LSHFO 0.5,1
39800002898,445.5,11.0,LSHFO 0.5,1
39800002902,81.0,2.0,LSHFO 0.5,1
39800002941,81.0,2.0,LSHFO 0.5,1
39800002955,40.5,1.0,LSHFO 0.5,1
39800002975,1458.0,36.0,LSHFO 0.5,1
39800002977,1539.0,38.0,LSHFO 0.5,1
39800002979,1620.0,40.0,LSHFO 0.5,1
39800002981,1620.0,40.0,LSHFO 0.5,1
39800002983,1984.5,49.0,LSHFO 0.5,1
39800002985,1741.5,43.0,LSHFO 0.5,1
39800002987,1822.5,45.0,LSHFO 0.5,1
39800002989,2025.0,50.0,LSHFO 0.5,1
39800002991,2025.0,50.0,LSHFO 0.5,1
39800002993,2025.0,50.0,LSHFO 0.5,1
39800002995,2146.5,53.0,LSHFO 0.5,1
39800002997,1660.5,41.0,LSHFO 0.5,2
39800002999,2106.0,52.0,LSHFO 0.5,1
39800003001,2106.0,52.0,LSHFO 0.5,1
39800003003,2106.0,52.0,LSHFO 0.5,1
39800003005,1782.0,44.0,LSHFO 0.5,1
39800003007,1701.0,42.0,LSHFO 0.5,1
39800003009,1741.5,43.0,LSHFO 0.5,1
39800003011,1620.0,40.0,LSHFO 0.5,1
39800003014,1579.5,39.0,LSHFO 0.5,1
39800003017,1620.0,40.0,LSHFO 0.5,2
39800003020,1620.0,40.0,LSHFO 0.5,1
39800003022,1620.0,40.0,LSHFO 0.5,1
39800003027,1741.5,43.0,LSHFO 0.5,1
39800003029,1579.5,39.0,LSHFO 0.5,1
39800003031,1579.5,39.0,LSHFO 0.5,2
39800003033,1822.5,45.0,LSHFO 0.5,1
39800003035,1944.0,48.0,LSHFO 0.5,1
39800003037,1620.0,40.0,LSHFO 0.5,1
39800003039,1620.0,40.0,LSHFO 0.5,1
39800003041,1701.0,42.0,LSHFO 0.5,1
39800003043,1944.0,48.0,LSHFO 0.5,1
39800003045,1863.0,46.0,LSHFO 0.5,1
39800003047,486.0,12.0,LSHFO 0.5,2
39800003068,81.0,2.0,LSHFO 0.5,1
39800003080,40.5,1.0,LSHFO 0.5,1
39800003084,40.5,1.0,LSHFO 0.5,1
39800003099,81.0,2.0,LSHFO 0.5,1
39800003103,0.0,0.0,LSHFO 0.5,1
39800003110,81.0,2.0,LSHFO 0.5,1
39800003138,0.0,0.0,LSHFO 0.5,1
39800003179,1215.0,30.0,LSHFO 0.5,2
39800003190,729.0,18.0,LSHFO 0.5,2
39800003198,0.0,0.0,LSHFO 0.5,2
39800003203,40.5,1.0,LSHFO 0.5,1
39800003212,324.0,8.0,LSHFO 0.5,1
39800003215,1458.0,36.0,LSHFO 0.5,2
39800003217,1498.5,37.0,LSHFO 0.5,2
39800003219,1498.5,37.0,LSHFO 0.5,1
39800003221,1458.0,36.0,LSHFO 0.5,1
39800003223,1498.5,37.0,LSHFO 0.5,1
39800003225,1458.0,36.0,LSHFO 0.5,1
39800003227,1458.0,36.0,LSHFO 0.5,1
39800003230,1579.5,39.0,LSHFO 0.5,1
39800003232,1417.5,35.0,LSHFO 0.5,1
39800003234,1417.5,35.0,LSHFO 0.5,1
39800003236,1093.5,27.0,LSHFO 0.5,1
39800003263,121.5,3.0,LSHFO 0.5,1
39800003273,42.7,1.0,ULSMGO 0.1,1
39800003277,526.5,13.0,LSHFO 0.5,1
39800003279,1417.5,35.0,LSHFO 0.5,1
39800003285,202.5,5.0,LSHFO 0.5,2
39800003295,81.0,2.0,LSHFO 0.5,1
39800003299,0.0,0.0,LSHFO 0.5,2
39800003303,202.5,5.0,LSHFO 0.5,2
39800003307,1174.5,29.0,LSHFO 0.5,1
39800003310,1620.0,40.0,LSHFO 0.5,1
39800003312,1620.0,40.0,LSHFO 0.5,1
39800003314,1620.0,40.0,LSHFO 0.5,1
39800003316,1701.0,42.0,LSHFO 0.5,1
39800003321,1620.0,40.0,LSHFO 0.5,1
39800003323,1620.0,40.0,LSHFO 0.5,1
39800003325,1620.0,40.0,LSHFO 0.5,2
39800003327,1620.0,40.0,LSHFO 0.5,1
39800003329,1741.5,43.0,LSHFO 0.5,1
39800003331,1660.5,41.0,LSHFO 0.5,1
39800003333,1620.0,40.0,LSHFO 0.5,1
39800003335,1620.0,40.0,LSHFO 0.5,1
